Time [s];Altitude [ft];Latitude [°];Longitude [°]
107,8;1 781;NaN;NaN
108;1 765;NaN;NaN
108,2;1 759;NaN;NaN
108,5;1 742;NaN;NaN
108,8;1 729;NaN;NaN
109;1 713;NaN;NaN
109,2;1 703;NaN;NaN
109,5;1 690;NaN;NaN
109,8;1 673;NaN;NaN
110;1 660;NaN;NaN
110,2;1 650;NaN;NaN
110,5;1 644;NaN;NaN
110,8;1 637;NaN;NaN
111;1 627;NaN;NaN
111,2;1 621;NaN;NaN
111,5;1 617;NaN;NaN
111,8;1 611;NaN;NaN
112;1 601;NaN;NaN
112,2;1 598;NaN;NaN
112,5;1 594;NaN;NaN
112,8;1 588;NaN;NaN
113;1 578;NaN;NaN
113,2;1 575;NaN;NaN
113,5;1 565;NaN;NaN
113,8;1 555;NaN;NaN
114;1 549;NaN;NaN
114,2;1 535;NaN;NaN
114,5;1 522;NaN;NaN
114,8;1 509;NaN;NaN
115;1 499;NaN;NaN
115,2;1 486;NaN;NaN
115,5;1 470;NaN;NaN
115,8;1 453;NaN;NaN
116;1 437;NaN;NaN
116,2;1 427;NaN;NaN
116,5;1 417;NaN;NaN
116,8;1 407;NaN;NaN
117;1 398;NaN;NaN
117,2;1 394;NaN;NaN
117,5;1 385;NaN;NaN
117,8;1 378;NaN;NaN
118;1 371;NaN;NaN
118,2;1 365;NaN;NaN
118,5;1 355;NaN;NaN
118,8;1 348;NaN;NaN
119;1 339;NaN;NaN
119,2;1 329;NaN;NaN
119,5;1 319;NaN;NaN
119,8;1 306;NaN;NaN
120;1 296;NaN;NaN
120,2;1 286;NaN;NaN
120,5;1 273;NaN;NaN
120,8;1 263;NaN;NaN
121;1 257;NaN;NaN
121,2;1 247;NaN;NaN
121,5;1 240;NaN;NaN
121,8;1 234;NaN;NaN
122;1 227;NaN;NaN
122,2;1 224;NaN;NaN
122,5;1 220;NaN;NaN
122,8;1 220;NaN;NaN
123;1 217;NaN;NaN
123,2;1 217;NaN;NaN
123,5;1 217;NaN;NaN
123,8;1 214;NaN;NaN
124;1 214;NaN;NaN
124,2;1 214;NaN;NaN
124,5;1 214;NaN;NaN
124,8;1 211;NaN;NaN
125;1 207;NaN;NaN
125,2;1 204;NaN;NaN
125,5;1 201;NaN;NaN
125,8;1 201;NaN;NaN
126;1 194;NaN;NaN
126,2;1 188;NaN;NaN
126,5;1 181;NaN;NaN
126,8;1 178;NaN;NaN
127;1 171;NaN;NaN
127,2;1 165;NaN;NaN
127,5;1 158;NaN;NaN
127,8;1 158;NaN;NaN
128;1 152;NaN;NaN
128,2;1 145;NaN;NaN
128,5;1 142;NaN;NaN
128,8;1 138;NaN;NaN
129;1 132;NaN;NaN
129,2;1 129;NaN;NaN
129,5;1 122;NaN;NaN
129,8;1 115;NaN;NaN
130;1 115;NaN;NaN
130,2;1 112;NaN;NaN
130,5;1 106;NaN;NaN
130,8;1 102;NaN;NaN
131;1 096;NaN;NaN
131,2;1 093;NaN;NaN
131,5;1 086;NaN;NaN
131,8;1 083;NaN;NaN
132;1 076;NaN;NaN
132,2;1 073;NaN;NaN
132,5;1 066;NaN;NaN
132,8;1 056;NaN;NaN
133;1 053;NaN;NaN
133,2;1 047;NaN;NaN
133,5;1 043;NaN;NaN
133,8;1 037;NaN;NaN
134;1 033;NaN;NaN
134,2;1 027;NaN;NaN
134,5;1 017;NaN;NaN
134,8;1 010;NaN;NaN
135;1 004;NaN;NaN
135,2;997;NaN;NaN
135,5;994;NaN;NaN
135,8;991;NaN;NaN
136;984;NaN;NaN
136,2;974;NaN;NaN
136,5;974;NaN;NaN
136,8;968;NaN;NaN
137;965;NaN;NaN
137,2;958;NaN;NaN
137,5;955;NaN;NaN
137,8;951;NaN;NaN
138;948;NaN;NaN
138,2;942;NaN;NaN
138,5;938;NaN;NaN
138,8;935;NaN;NaN
139;932;NaN;NaN
139,2;925;NaN;NaN
139,5;919;NaN;NaN
139,8;915;NaN;NaN
140;912;NaN;NaN
140,2;909;NaN;NaN
140,5;902;NaN;NaN
140,8;896;NaN;NaN
141;892;NaN;NaN
141,2;889;NaN;NaN
141,5;883;NaN;NaN
141,8;879;NaN;NaN
142;873;NaN;NaN
142,2;866;NaN;NaN
142,5;860;NaN;NaN
142,8;856;NaN;NaN
143;856;NaN;NaN
143,2;853;NaN;NaN
143,5;850;NaN;NaN
143,8;850;NaN;NaN
144;846;NaN;NaN
144,2;843;NaN;NaN
144,5;843;NaN;NaN
144,8;840;NaN;NaN
145;837;NaN;NaN
145,2;837;NaN;NaN
145,5;837;NaN;NaN
145,8;833;NaN;NaN
146;833;NaN;NaN
146,2;830;NaN;NaN
146,5;827;NaN;NaN
146,8;823;NaN;NaN
147;817;NaN;NaN
147,2;817;NaN;NaN
147,5;814;NaN;NaN
147,8;810;NaN;NaN
148;807;NaN;NaN
148,2;801;NaN;NaN
148,5;801;NaN;NaN
148,8;797;NaN;NaN
149;797;NaN;NaN
149,2;794;NaN;NaN
149,5;787;NaN;NaN
149,8;784;NaN;NaN
150;781;NaN;NaN
150,2;778;NaN;NaN
150,5;778;NaN;NaN
150,8;771;NaN;NaN
151;768;NaN;NaN
