millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,accel,temp,press,num_satellites
# { "g_press": 100892.45, "g_temp": 23.27, "datetime": "2022-10-16T14:42:20Z", "fw_version": "0.4.1-gps-testing+git-7ae69c7" }
# Switched to mode: Climb
823744,464536713,-726719382,2140554,2180.9487,66602,-4421,2867568,,27.44,77986,15
823800,464537008,-726719153,2140784,2181.476,66555,-4447,2840173,,27.44,77981,15
823856,464537303,-726718922,2140999,2181.476,66662,-4517,2846098,,27.44,77981,15
823912,464537595,-726718690,2141230,2181.7695,66302,-4538,2877115,,27.44,77979,15
823968,464537887,-726718457,2141462,2182.112,66356,-4483,2889320,,27.44,77975,15
824024,464538181,-726718225,2141694,2182.3865,66593,-4491,2871745,,27.44,77973,15
824080,464538474,-726717991,2141947,2182.5415,66686,-4410,2881853,,27.44,77971,15
824136,464538766,-726717759,2142200,2182.8323,66235,-4548,2882798,,27.44,77969,15
824192,464539058,-726717526,2142443,2183.2537,66279,-4593,2887577,,27.44,77965,15
824248,464539352,-726717295,2142675,2183.7131,66421,-4737,2862731,,27.44,77960,15
824304,464539644,-726717062,2142905,2184.08,66260,-4310,2891074,,27.44,77957,15
824360,464539937,-726716829,2143189,2184.4578,66411,-4564,2875422,,27.44,77953,15
824416,464540231,-726716596,2143455,2184.4578,66567,-4765,2878322,,27.44,77953,15
824472,464540526,-726716365,2143721,2184.7405,66516,-4774,2861385,,27.44,77951,15
824528,464540820,-726716132,2143992,2184.901,66479,-4696,2866190,,27.44,77949,15
824584,464541114,-726715899,2144224,2185.246,66476,-4760,2890002,,27.44,77946,15
824640,464541408,-726715666,2144471,2185.5505,66489,-4766,2883740,,27.44,77943,15
824696,464541702,-726715432,2144714,2185.9583,66619,-4714,2882526,,27.44,77939,15
824752,464541996,-726715199,2144949,2186.2136,66529,-4729,2877590,,27.44,77937,15
824808,464542290,-726714965,2145226,2186.51,66587,-4940,2883587,,27.44,77934,15
824864,464542585,-726714732,2145501,2186.8743,66579,-4666,2887406,,27.44,77931,15
824920,464542878,-726714498,2145735,2187.5212,66439,-4488,2887400,,27.44,77925,15
824976,464543172,-726714264,2146032,2187.5212,66573,-4804,2892124,,27.44,77925,15
825032,464543466,-726714032,2146300,2187.88,66381,-4727,2868944,,27.44,77921,15
825088,464543762,-726713799,2146568,2188.0837,66533,-4880,2870028,,27.44,77919,15
825144,464544057,-726713564,2146834,2188.2822,66732,-4838,2889218,,27.44,77917,15
825200,464544350,-726713329,2147094,2188.4807,66387,-4691,2908876,,27.44,77915,15
825256,464544644,-726713096,2147343,2188.5188,66391,-4621,2900119,,27.44,77915,15
825312,464544941,-726712862,2147606,2188.7634,66771,-4784,2882008,,27.44,77913,14
825368,464545235,-726712628,2147887,2188.7822,66702,-4880,2890268,,27.44,77913,14
825424,464545530,-726712394,2148150,2188.9453,66538,-4643,2884189,,27.44,77911,14
825480,464545825,-726712159,2148408,2188.8667,66535,-4712,2895440,,27.44,77912,14
825536,464546120,-726711924,2148666,2188.8667,66619,-4728,2891789,,27.44,77912,14
825592,464546415,-726711688,2148939,2189.3042,66799,-4772,2896152,,27.44,77908,14
825648,464546710,-726711452,2149215,2189.8967,66601,-4705,2898050,,27.44,77902,14
825704,464547005,-726711216,2149483,2190.2065,66762,-4579,2893625,,27.45,77899,14
825760,464547301,-726710980,2149752,2190.7312,66840,-4607,2885468,,27.45,77894,14
825816,464547597,-726710744,2150046,2191.0764,66840,-4817,2887915,,27.45,77891,14
825872,464547892,-726710508,2150339,2191.4353,66853,-4830,2894220,,27.44,77888,14
825928,464548186,-726710272,2150622,2191.6445,66643,-4706,2909105,,27.44,77886,14
825984,464548480,-726710036,2150905,2191.7832,66541,-4972,2909250,,27.44,77884,14
826040,464548777,-726709800,2151178,2192.4382,66886,-4821,2898184,,27.44,77878,14
826096,464549073,-726709565,2151449,2192.4382,66890,-4709,2890912,,27.44,77878,14
826152,464549366,-726709330,2151745,2192.9736,66573,-4796,2907270,,27.44,77873,14
826208,464549661,-726709094,2152000,2193.414,66708,-4836,2902419,,27.44,77869,14
826264,464549957,-726708859,2152269,2193.762,66760,-4909,2895928,,27.44,77866,14
826320,464550252,-726708625,2152551,2194.042,66778,-4847,2893157,,27.44,77863,14
826376,464550545,-726708391,2152853,2194.1995,66746,-4778,2892261,,27.44,77862,14
826432,464550841,-726708155,2153101,2194.1616,66828,-4877,2902812,,27.45,77862,14
826488,464551136,-726707920,2153344,2194.1968,66819,-4902,2895202,,27.45,77862,14
826544,464551430,-726707683,2153598,2194.4307,66714,-4805,2926444,,27.45,77859,14
826600,464551724,-726707448,2153873,2194.9553,66728,-4712,2910113,,27.45,77855,14
826656,464552017,-726707211,2154167,2194.9553,66711,-4818,2912058,,27.45,77855,14
826712,464552312,-726706976,2154455,2195.3684,66835,-4858,2901331,,27.45,77851,14
826768,464552606,-726706740,2154740,2195.8875,66774,-4838,2905469,,27.45,77846,14
826824,464552900,-726706502,2155031,2196.0886,66815,-5010,2924261,,27.44,77844,14
826880,464553193,-726706265,2155301,2196.241,66714,-5029,2925855,,27.45,77842,14
826936,464553488,-726706029,2155596,2196.3687,66849,-4980,2908828,,27.45,77841,14
826992,464553783,-726705795,2155890,2196.7192,66834,-5081,2888856,,27.45,77838,14
827048,464554076,-726705559,2156140,2197.1162,66612,-4718,2915413,,27.45,77834,14
827104,464554371,-726705322,2156420,2197.4805,66852,-4910,2923226,,27.45,77831,14
827160,464554666,-726705086,2156710,2198.1816,66749,-4953,2915862,,27.44,77824,14
827216,464554960,-726704850,2156994,2198.1816,66833,-5028,2920265,,27.44,77824,14
827272,464555254,-726704613,2157302,2198.6438,66653,-5119,2921244,,27.44,77820,14
827328,464555548,-726704376,2157586,2199.19,66839,-4893,2914320,,27.44,77815,14
827384,464555845,-726704140,2157855,2199.7146,67115,-4991,2891399,,27.44,77810,14
827440,464556141,-726703903,2158144,2199.9512,67145,-5069,2899864,,27.45,77808,14
827496,464556435,-726703666,2158419,2200.0518,66837,-4900,2913319,,27.45,77807,14
827552,464556729,-726703430,2158705,2200.3208,66658,-5001,2913973,,27.45,77804,14
827608,464557023,-726703193,2159027,2200.5002,66855,-5310,2927028,,27.45,77802,14
827664,464557316,-726702955,2159357,2200.6633,66802,-5401,2936286,,27.45,77801,14
827720,464557610,-726702718,2159602,2201.3699,66771,-4806,2919303,,27.45,77794,14
827776,464557905,-726702480,2159885,2201.3699,66935,-5172,2924154,,27.45,77794,14
827832,464558200,-726702245,2160171,2201.8267,66803,-5045,2896156,,27.44,77790,14
827888,464558495,-726702008,2160456,2202.3132,67031,-4926,2902079,,27.44,77785,14
827944,464558789,-726701768,2160749,2202.6284,66966,-5132,2939644,,27.45,77782,14
828000,464559085,-726701529,2161043,2202.8894,67198,-5279,2920113,,27.45,77780,14
